Year,Donor,Where Donor Lives,Donor's Source of Wealth,Recipient,Recipient Location,Cause,Gift type,Gift Value
2015,Ralph E. Otto Trust (Ralph E. Otto),Illinois,Health care,"Wartburg College (Waverly, Iowa)",Iowa,Colleges and universities,Bequest,4000000
2015,Robert Anderson,Minnesota,Health care,U. of Minnesota (Minneapolis),Minnesota,Colleges and universities,Bequest,4000000
2015,Luellen Pyles,Kentucky,Marketing,Kentucky Wesleyan College (Owensboro),Kentucky,Colleges and universities,Bequest,4000000
2015,Anonymous,,,"Lake Lowell High School (Winter Park, Fla.)",Florida,Education,,4000000
2015,David Rockefeller,New York,Family wealth,"Rockefeller State Park Preserve (Pleasantville, N.Y.)",New York,Other groups,Gift,4000000
2015,Lannan Foundation (J. Patrick Lannan Jr.),New Mexico,Family wealth,Georgetown U. (Washington),District of Columbia,Colleges and universities,Gift,4000000
2015,William Rolland,California,Real estate,California Lutheran U. (Thousand Oaks),California,Colleges and universities,GiftEstimated,4000000
2015,Anonymous,,,"Rutgers U. (New Brunswick, N.J.)",New Jersey,Colleges and universities,GiftChallenge,4000000
2015,Foster Stanback,California,"Finance, Investments","Ecosa Institute for Ecological Design (Prescott, Ariz.)",Arizona,Conservation and the environment,Gift,4000000
2015,James and Connie Hughes,New Jersey,Education,"Rutgers U. (New Brunswick, N.J.)",New Jersey,Colleges and universities,Pledge,3500000
2015,Pritzker family,,Hotels,U. of Chicago Law School,Illinois,Colleges and universities,,3500000
2015,Theresa (Terry) Thompson,,Consulting,"College of William & Mary (Williamsburg, Va.)",Virginia,Colleges and universities,Pledge,3500000
2015,John P. and Tashia F. Morgridge,California,Technology,U. of Wisconsin Hospital (Madison),Wisconsin,Health,GiftMatching,3500000
2015,Anonymous,,,"Roberts Wesleyan College (Rochester, N.Y.)",New York,Colleges and universities,Gift,3500000
2015,Audrey Geisel,California,,U. of California at San Diego,California,Colleges and universities,,3000000
2015,John and Jennifer Eagle,Texas,Retail,Dallas Museum of Art,Texas,Arts,Pledge,3000000
2015,Sanford J. Grossman Charitable Trust (Sanford J. Grossman),New York,"Education, Finance",Icahn School of Medicine at Mount Sinai (New York),New York,Colleges and universities,Pledge,3000000
2015,Carl and Aune Lind Family Foundation (Lind family),Minnesota,Finance,"Gustavus Adolphus College (St. Peter, Minn.)",Minnesota,Colleges and universities,Pledge,3000000
2015,John P. Jones III and Denise Jones,Pennsylvania,Chemicals,Villanova U. College of Engineering (Pa.),Pennsylvania,Colleges and universities,Pledge,3000000
2015,G. J. and Heather Hart,California,Food and beverage,"James Madison U. (Harrisonburg, Va.)",Virginia,Colleges and universities,Pledge,3000000
2015,R. William and Marilyn J. Van Sant,Wisconsin,Manufacturing,"U. of Iowa, College of Engineering (Iowa City)",Iowa,Colleges and universities,Pledge,3000000
2015,Carol and Barney Barnett,Florida,"Food and beverage, Retail","Mote Marine Laboratory and Aquarium (Sarasota, Fla.)",Florida,Conservation and the environment,Gift,3000000
2015,Irene Pesik,Iowa,Agriculture,"St. Malachy Foundation (Creston, Iowa)",Iowa,Religious groups,Bequest,3000000
2015,Marjorie Knight and Alpo Crane,North Carolina,Media and entertainment,Queens U. of Charlotte (N.C.),North Carolina,Colleges and universities,Gift,3000000
2015,Timothy and Robin Wentworth,New Jersey,Pharmaceuticals,U. of Rochester (N.Y.),New York,Colleges and universities,Gift,3000000
2015,Anonymous,,,Albany College of Pharmacy and Health Sciences (N.Y.),New York,Colleges and universities,PledgeBequest,3000000
2015,C.T. and Kelley Fitzpatrick,Alabama,Investments,"U. of Alabama at Tuscaloosa, Culverhouse College of Commerce",Alabama,Colleges and universities,Gift,3000000
2015,Mark and Cindy Pentecost,Florida,Retail,Michigan State U. (East Lansing),Michigan,Colleges and universities,Gift,3000000
2015,Eunice Singfeldt,,Investments,Bethel U. (Minn.),Minnesota,Colleges and universities,Bequest,3000000
2015,Thomas P. and Barbara Putnam,New Hampshire,Manufacturing,"New England College (Henniker, N.H.)",New Hampshire,Colleges and universities,Gift,3000000
2015,B.M. Stevenson,Nebraska,Health care,U. of Nebraska at Kearney,Nebraska,Colleges and universities,Bequest,2750000
2015,Barbara Ann Curtis,New Jersey,"Education, Family wealth","Misericordia U. (Dallas, Pa.)",Pennsylvania,Colleges and universities,Bequest,2650000
2015,Bette Wilson,Alabama,Investments,"Living River Camp (Springville, Ala.)",Alabama,Religious groups,Bequest,2520000
2015,Steven Fox,,,"St. Olaf College (Northfield, Minn.)",Minnesota,Colleges and universities,Matching,2500000
2015,Michael and Billie Kubly,Wisconsin,Health care,"Rogers Memorial Hospital Foundation (Oconomowoc, Wis.)",Wisconsin,Health,,2500000
2015,Leslie Jackson Chihuly,Washington,Entertainment,Seattle Symphony Orchestra,Washington,Arts,,2500000
2015,Anonymous,,,Monmouth College (Ill.),Illinois,Colleges and universities,GiftChallenge,2500000
2015,Nance Dicciani,Pennsylvania,Technology,Villanova U. College of Engineering (Pa.),Pennsylvania,Colleges and universities,Pledge,2500000
2015,Betty Sheppard Poe,South Carolina,Insurance,Clemson U. (S.C.),South Carolina,Colleges and universities,,2500000
2015,Clayton Yeutter,Maryland,Government,U. of Nebraska at Lincoln,Nebraska,Colleges and universities,Pledge,2500000
2015,Bud and Sue Selig,Wisconsin,Professional Sports,Phoenix Art Museum,Arizona,Arts,Gift,2500000
2015,David Rockefeller,New York,Family wealth,Rhode Island School of Design Museum (Providence),Rhode Island,Arts,Gift,2500000
2015,Morris I. and Phyllis Friedman,Ohio,Mineral exploration,Youngstown State U. (Ohio),Ohio,Colleges and universities,Gift,2500000
2015,William Barnet III,South Carolina,Manufacturing,"Northside Development Group (Spartanburg, S.C.)",South Carolina,Human and social services,Gift,2500000
2015,James Herbert and Judith Herbert and James Herman and Susan Herman,Michigan,Food and beverage,"Sparrow Health System (Lansing, Mich.)",Michigan,Health,Gift,2500000
2015,Mukund Padmanabhan,New York,Finance,"U. of California at Los Angeles, Henry Samueli School of Engineering and Applied Science",California,Colleges and universities,Gift,2500000
2015,Douglas Foundation (Kirk and Anne Douglas),California,Entertainment,Children's Hospital Los Angeles,California,Health,Pledge,2300000
2015,Wilbert and Darlene Carlson,California,Engineering,California Lutheran U. (Thousand Oaks),California,Colleges and universities,Bequest,2280000
2015,Helen Palmatier,Michigan,Construction,Aquinas College (Mich.),Michigan,Colleges and universities,Bequest,2200000
2015,Daniel and Janet Mordecai Foundation (Janet Mordecai),,Health care,U. of Colorado at Aurora,Colorado,Colleges and universities,,2000000
2015,Lois Watts,North Dakota,"Education, Transportation",Bismarck Public Schools Foundation (N.D.),North Dakota,Education,Bequest,2000000
2015,Anonymous,,,"DePauw U. (Greencastle, Ind.)",Indiana,Colleges and universities,,2000000
2015,Anonymous,,,"Randolph College (Lynchburg, Va.)",Virginia,Colleges and universities,,2000000
2015,Richard M. Schulze Family Foundation (Richard M. Schulze),Minnesota,Retail,Abbott Northwestern Hospital Foundation (Minneapolis),Minnesota,Health,,2000000
2015,David Rockefeller,New York,Family wealth,"Land & Garden Preserve of Mount Desert Island (Seal Harbor, Me.)",Maine,Other groups,NoncashGift,2000000
2015,E. Philip Saunders,New York,"Retail, Transportation","Paul Smith's College (Paul Smiths, N.Y.)",New York,Colleges and universities,,2000000
2015,Ellen Karelsen Solender,Texas,Law,"Southern Methodist U., Dedman School of Law (Dallas)",Texas,Colleges and universities,,2000000
2015,Gregg and Kate Lemkau,New York,Finance,"Dartmouth College (Hanover, N.H.)",New Hampshire,Colleges and universities,,2000000
2015,Ken Nunn,Indiana,Law,Indiana U. at Bloomington Athletics,Indiana,Colleges and universities,,2000000
2015,Ken and Linda Morris,California,Technology,"Southern Methodist U., Cox School of Business (Dallas)",Texas,Colleges and universities,Gift,2000000
2015,John and Rosemary Brown,Michigan,Media and entertainment,Kalamazoo Institute of Arts (Mich.),Michigan,Colleges and universities,Gift,2000000
2015,Anonymous,,,U. of California at Santa Barbara,California,Colleges and universities,Bequest,2000000
2015,Ed Marron,New Jersey,Real estate,"Valley Hospital (Ridgewood, N.J.)",New Jersey,Health,Gift,2000000
2015,Anonymous,,,"Environmental Justice Housing Fund (Corpus Christi, Tex.)",Texas,Human and social services,Gift,2000000
2015,Phillip and Peggy DeZwirek,Ohio,Manufacturing,Boca Raton Regional Hospital Foundation (Fla.),Florida,Health,Gift,2000000
2015,Elaine Krowne Klein,California,Family wealth,U. of California at Los Angeles,California,Colleges and universities,Gift,2000000
2015,Zuhair Fayez,,Real estate,U. of Colorado at Denver,Colorado,Colleges and universities,Gift,2000000
2015,Martha Hearron,,Pharmaceuticals,Western Michigan U. (Kalamazoo),Michigan,Colleges and universities,Bequest,2000000
2015,David and Jill Gilmour,Florida,Food and beverage,"Opportunity Inc. (West Palm Beach, Fla.)",Florida,Education,Gift,2000000
2015,Henry Timnick,New York,Finance,Michigan State U. (East Lansing),Michigan,Colleges and universities,Gift,2000000
2015,Ron and Cille Williams,Florida,Insurance,U. of Nebraska at Kearney,Nebraska,Colleges and universities,Gift,2000000
2015,Lorry I. Lokey,Oregon,Media and entertainment,"Lewis & Clark College (Portland, Ore.)",Oregon,Colleges and universities,Gift,2000000
2015,Cynthia Hoehl,Vermont,"Health care, Technology","Stern Center for Language and Learning (Williston, Vt.)",Vermont,Education,Gift,2000000
2015,Phil and Jocelyn Hagerman,Michigan,Retail,U. of Michigan at Flint,Michigan,Colleges and universities,Gift,2000000
2015,James W. Bradshaw and Carlos E. Evans,South Carolina,Real estate,"Hilton Head Preparatory Academy (Hilton Head Island, S.C.)",South Carolina,Education,Gift,1950000
2015,Edward W. Jesse Jr. Trust (Edward W. Jesse Jr.),Iowa,Agriculture,"Wartburg College (Waverly, Iowa)",Iowa,Colleges and universities,Bequest,1900000
2015,Richard Switzer,Illinois,,"McDonough District Hospital Foundation (Macomb, Ill.)",Illinois,Health,Gift,1900000
2015,Mozelle Tarpley,Georgia,Finance,"Reinhardt U. (Waleska, Ga.)",Georgia,Colleges and universities,Bequest,1670500
2015,Erika Glazer,California,"Family wealth, Real estate",California State U. at Los Angeles,California,Colleges and universities,,1600000
2015,Jalal and Mohammad Farzaneh,Oklahoma,Real estate,Oklahoma State U. (Stillwater),Oklahoma,Colleges and universities,Gift,1600000
2015,Jalal and Mohammad Farzaneh,Oklahoma,Real estate,Oklahoma State U. (Stillwater),Oklahoma,Colleges and universities,Gift,1600000
2015,Callais Campbell,,Professional Sports,"U. of Miami (Coral Gables, Fla.)",Florida,Colleges and universities,Gift,1600000
2015,Doug Dittrick,Florida,Telecommunications,Ohio Wesleyan U. (Delaware),Ohio,Colleges and universities,Pledge,1590000
2015,Anonymous,,,"Wake Forest U. Baptist Medical Center (Winston-Salem, N.C.)",North Carolina,Colleges and universities,,1500000
2015,William and Jo Ann Trogdon,Missouri,Entertainment,U. of Missouri at Columbia,Missouri,Colleges and universities,Pledge,1500000
2015,Bita Daryabari,California,Telecommunications,U. of California at Davis,California,Colleges and universities,,1500000
2015,Richard and Gretchen Evans,California,Manufacturing,Oregon State U. (Corvallis),Oregon,Colleges and universities,,1500000
2015,Stefan Edlis and Gael Neeson,Illinois,Manufacturing,Chicago Opera Theater,Illinois,Arts,,1500000
2015,Dwight and Marjorie Peterson,Minnesota,Technology,"Lawrence U. (Appleton, Wis.)",Wisconsin,Colleges and universities,,1500000
2015,Elizabeth Moore Ruffin,North Carolina,,"William Peace U. (Raleigh, N.C.)",North Carolina,Colleges and universities,BequestUnrestricted,1500000
2015,Eugenia Davis and Robert H. Mills,California,Government,Ohio Wesleyan U. (Delaware),Ohio,Colleges and universities,Pledge,1500000
2015,Frank Quinn,Illinois,Finance,Ohio Wesleyan U. (Delaware),Ohio,Colleges and universities,PledgeMatching,1500000
2015,J. Spencer and Patricia Standish,New York,Manufacturing,"College of Saint Rose (Albany, N.Y.)",New York,Colleges and universities,,1500000
2015,Russell and Marjorie Boss,Rhode Island,Manufacturing,"Dartmouth College (Hanover, N.H.)",New Hampshire,Colleges and universities,,1500000
2015,Anonymous,,,"Dartmouth College (Hanover, N.H.)",New Hampshire,Colleges and universities,,1500000
2015,Anonymous,,,Emory U. School of Law (Atlanta),Georgia,Colleges and universities,,1500000
2015,Lorna Ann Gavin,Montana,,Humane Society of Western Montana (Missoula),Montana,Other groups,Bequest,1500000
2015,Anonymous,,,"Saint Francis U. (Loretto, Pa.)",Pennsylvania,Colleges and universities,Pledge,1500000
2015,Jeffrey S. Van Harte,California,Finance,California State U. at Fullerton,California,Colleges and universities,Gift,1500000
2015,Robert and Joyce Hughes,Kentucky,Health care,U. of Louisville (Ky.),Kentucky,Colleges and universities,Gift,1500000
2015,Paul Kamrath,Nebraska,Engineering,U. of Nebraska Foundation (Omaha),Nebraska,Colleges and universities,Bequest,1500000
2015,Andre Agassi and Steffi Graf,Nevada,Professional Sports,Keep Memory Alive (Las Vegas),Nevada,Health,Gift,1500000
2015,Joseph and Charlotte Stone,New York,Finance,Syracuse U. (N.Y.),New York,Colleges and universities,Bequest,1400000
2015,Anonymous,,,"Notre Dame de Namur U. (Belmont, Calif.)",California,Colleges and universities,GiftMatching,1350000
2015,Steven Goldman,,,U. of Cincinnati,,Colleges and universities,Gift,1300000
2015,Josephine McPherson and Donald Heslep,Virginia,Construction,"U. of Mary Washington (Fredericksburg, Va.)",Virginia,Colleges and universities,Pledge,1250000
2015,Carl and Sally Gable,Georgia,Law,Atlanta Symphony Orchestra,Georgia,Arts,Pledge,1250000
2015,Violet Laack,Wisconsin,Education,Chilton Area Community Foundation (Wis.),Wisconsin,Education,Bequest,1200000
2015,Sue Davison Cooley,Oregon,"Industry, Real estate","Wilson College (Chambersburg, Pa.)",Pennsylvania,Colleges and universities,,1200000
2015,Anonymous,,,U. of Hawaii Foundation (Manoa),Hawaii,Colleges and universities,Gift,1200000
2015,Ronald Read,Vermont,Investments,"Brooks Memorial Library (Brattleboro, Vt.)",Vermont,Museums and libraries,BequestUnrestricted,1200000
2015,Johnston Family Foundation (James W. Johnston),North Carolina,"Finance, Investments","Wake Forest U. Baptist Medical Center (Winston-Salem, N.C.)",North Carolina,Colleges and universities,,1130000
2015,Robert and Elayne Stein,California,Investments,Santa Cruz County Government Center (Calif.),California,Other groups,Bequest,1129480
2015,Margaret Finley,Tennessee,Manufacturing,U. of Tennessee at Chattanooga,Tennessee,Colleges and universities,Gift,1100000
2015,Joe F. Sanderson Jr. and Kathy Sanderson,Mississippi,Food and beverage,"William Carey U. (Hattiesburg, Miss.)",Mississippi,Colleges and universities,Gift,1100000
2015,Alexandra (Sandy) Mason,Kansas,Education,U. of Kansas Endowment (Lawrence),Kansas,Colleges and universities,Bequest,1030000
2015,Anonymous,,,Richmond CenterStage (Va.),Virginia,Arts,,1000000
2015,Dennis and Judy Jones,Missouri,Pharmaceuticals,St. Louis Zoo,Missouri,Zoos and aquariums,,1000000
2015,Gerald and Eileen Lieberman,New York,Finance,Solomon Schechter School of Manhattan (New York),New York,Education,,1000000
2015,Drew and Brittany Brees,Louisiana,Professional Sports,"Purdue U. (West Lafayette, Ind.)",Indiana,Colleges and universities,,1000000
2015,Clements Foundation (William P. Clements Jr. and Rita Clements),Texas,Oil,"Southern Methodist U. in Taos (Ranchos de Taos, N.M.)",New Mexico,Colleges and universities,Bequest,1000000
2015,Anonymous,,,Emory U. School of Law (Atlanta),Georgia,Colleges and universities,,1000000
2015,Anthony E. Meyer,New York,Finance,William E. Macaulay Honors College at City U. of New York,New York,Colleges and universities,,1000000
2015,Howard and Vera Million,Illinois,Agriculture,"Passavant Area Hospital Foundation (Jacksonville, Ill.)",Illinois,Health,Bequest,1000000
2015,Beverly (Gerhardson) and Lloyd Paulson Family Donor Advised Fund (Lloyd Paulson),Minnesota,Retail,South Dakota Parks and Wildlife Foundation (Pierre),South Dakota,Other groups,,1000000
2015,Lloyd Paulson,Minnesota,Retail,"Youth & Family Services (Rapid City, S.D.)",South Dakota,Children and youths,ChallengeGift,1000000
2015,Lee and Marilyn Tenzer,Illinois,Finance,"DePauw U. (Greencastle, Ind.)",Indiana,Colleges and universities,,1000000
2015,Ed and Shirley Babka,Iowa,,"UnityPoint Health Finley Health Foundation (Dubuque, Iowa)",Iowa,Health,,1000000
2015,Brian and Amy France,New York,Professional Sports,"Providence Day School (Charlotte, N.C.)",North Carolina,Education,,1000000
2015,Jimmie Edwards,North Carolina,Chemicals,Dillard U. (New Orleans),Louisiana,Colleges and universities,,1000000
2015,Jeffrey and Susan Brudnick,Massachusetts,Insurance,Chelsea Jewish Foundation (Mass.),Massachusetts,Foundations,Pledge,1000000
2015,Bob and Marilyn Bogle,Arkansas,Retail,U. of Arkansas at Fayetteville,Arkansas,Colleges and universities,Pledge,1000000
2015,James and Sharon Maida,New Jersey,Entertainment,"Rutgers U. School of Law (Camden, N.J.)",New Jersey,Colleges and universities,,1000000
2015,Margaret Yates,Massachusetts,Retail,"Permanent Endowment Fund for Martha's Vineyard (Oak Bluffs, Mass.)",Massachusetts,Community foundations,Bequest,1000000
2015,Jorge Rico,Florida,Health care,"St. Thomas U. (Miami Gardens, Fla.)",Florida,Colleges and universities,,1000000
2015,Scott Mueller,Ohio,Retail,"U. of Miami (Coral Gables, Fla.)",Florida,Colleges and universities,,1000000
2015,Carol Lazier,California,Family wealth,San Diego Opera,California,Arts,,1000000
2015,Howard and Diane Long,,Professional Sports,Villanova U. (Pa.),Pennsylvania,Colleges and universities,Pledge,1000000
2015,Robert and Myra Kraft Family Foundation (Robert K. Kraft),Massachusetts,Investments,United States Holocaust Memorial Museum (Washington),District of Columbia,Museums and libraries,Gift,1000000
2015,Charles Barkley,,Entertainment,"Wounded Warrior Project (Jacksonville, Fla.)",Florida,Other groups,,1000000
2015,Charles Barkley,,Entertainment,Auburn U. (Ala.),Alabama,Colleges and universities,Pledge,1000000
2015,Charles Barkley,,Entertainment,Morehouse College (Atlanta),Georgia,Colleges and universities,Pledge,1000000
2015,Cassina Tarsia,California,,Edgar Cayce's Association for Research and Enlightenment (Virginia Beach),Virginia,Other groups,Pledge,1000000
2015,Sanford I. and Joan H. Weill,New York,Finance,"Paul Smith's College (Paul Smiths, N.Y.)",New York,Colleges and universities,,1000000
2015,Anonymous,,,Milligan College (Tenn.),Tennessee,Colleges and universities,,1000000
2015,Anonymous,,,"Antioch College (Yellow Springs, Ohio)",Ohio,Colleges and universities,,1000000
2015,Charles K. and Catherine Sewell,Georgia,Manufacturing,"Mount Paran Christian School (Kennesaw, Ga.)",Georgia,Education,,1000000
2015,Peter and Derry Bunting,,Health care,Birmingham-Southern College (Ala.),Alabama,Colleges and universities,,1000000
2015,Allen family,,Education,Davis & Elkins College (W.Va.),West Virginia,Colleges and universities,,1000000
2015,Anonymous,,,Loyola U. New Orleans,Louisiana,Colleges and universities,,1000000
2015,David M. Rubenstein,Maryland,Finance,Martha's Table (Washington),District of Columbia,Social services,,1000000
2015,John Rathbone,Virginia,Transportation,"College of William & Mary, Mason School of Business (Williamsburg, Va.)",Virginia,Colleges and universities,Pledge,1000000
2015,Karen Dixon and Nan Schaffer,District of Columbia,Law,Lambda Legal (New York),New York,Other groups,PledgeMatching,1000000
2015,Carlos Alvarez,Texas,Food and beverage,Oregon State U. (Corvallis),Oregon,Colleges and universities,,1000000
2015,Gerald D. and Barbara Hines,Texas,Real estate,"U. of Houston, Gerald D. Hines College of Architecture",Texas,Colleges and universities,Pledge,1000000
2015,David and Timothy Donohue,Massachusetts,Oil,"Pennsylvania State U., College of Earth and Mineral Sciences (University Park)",Pennsylvania,Colleges and universities,,1000000
2015,Anonymous,,,"St. Mary's Medical Center (Grand Junction, Colo.)",Colorado,Health,Unrestricted,1000000
2015,John and Fonda Elliot,West Virginia,Health care,U. of Charleston (W.Va.),West Virginia,Colleges and universities,,1000000
2015,Signe Gates,Connecticut,Law,"Susquehanna U. (Selinsgrove, Pa.)",Pennsylvania,Colleges and universities,,1000000
2015,Anonymous,,,"Saint Francis U. (Loretto, Pa.)",Pennsylvania,Colleges and universities,,1000000
2015,Mark Wilkins,Missouri,Finance,"U. of Missouri at Columbia, College of Arts and Science",Missouri,Colleges and universities,Pledge,1000000
2015,Helen and Jabie Hardin Charitable Trust (Helen Hardin),Tennessee,Food and beverage,Memphis Symphony Orchestra,Tennessee,Arts,Gift,1000000
2015,Robert Pence,Indiana,Media and entertainment,"Acres Land Trust (Huntertown, Ind.)",Indiana,Conservation and the environment,UnrestrictedBequest,1000000
2015,Gene Stein and Marilyn (Mindy) Stein,California,Entertainment,Children's Hospital Los Angeles,California,Health,Gift,1000000
2015,Chris Cox,California,Technology,"Live in Peace (East Palo Alto, Calif.)",California,Human and social services,Gift,1000000
2015,Suzanne Burgoyne,Mississippi,Media and entertainment,"U. of Missouri at Columbia, College of Arts and Science",Missouri,Colleges and universities,Gift,1000000
2015,Ellen and Michael Kullman,Delaware,Chemicals,"Johns Hopkins U., Bloomberg School of Public Health (Baltimore)",Maryland,Health,Gift,1000000
2015,Martin Shkreli,New York,Pharmaceuticals,Hunter College High School (New York),New York,Education,Gift,1000000
2015,Paul Profeta,New Jersey,Real estate,Rutgers U. at Newark (N.J.),New Jersey,Colleges and universities,Gift,1000000
2015,Marc Berson,New Jersey,Law,Rutgers U. at Newark (N.J.),New Jersey,Colleges and universities,Gift,1000000
2015,Nancy Cantor and Steve Brechin,New Jersey,,Rutgers U. at Newark (N.J.),New Jersey,Colleges and universities,Gift,1000000
2015,Raymond G. Chambers,New Jersey,Finance,Rutgers U. at Newark (N.J.),New Jersey,Colleges and universities,Gift,1000000
2015,Farooq and Farida Kathwari,Connecticut,Retail,Western Connecticut State U. (Danbury),Connecticut,Colleges and universities,Gift,1000000
2015,Preston Haskell,Florida,Construction,"U. of Florida, Bob Graham Center for Public Service (Gainesville)",Florida,Colleges and universities,Gift,1000000
2015,Gale V. King,Ohio,Insurance,U. of Florida (Gainesville),Florida,Colleges and universities,Gift,1000000
2015,James Kane,Illinois,Health care,U. of Scranton (Pa.),Pennsylvania,Colleges and universities,Gift,1000000
2015,Darlene Marcos Shiley,California,"Health products, Invention",San Diego State U.,California,Colleges and universities,Gift,1000000
2015,Greg Gianforte,Montana,Technology,Montana State U. (Billings),Montana,Colleges and universities,Gift,1000000
2015,Claudia and Steven Perles,Florida,,Miami City Ballet,Florida,Arts,Gift,1000000
2015,Lawrence and Margarete Mertens,Florida,Manufacturing,Florida Institute of Technology (Melbourne),Florida,Colleges and universities,Gift,1000000
2015,Carl and JoAnn Bottcher,Florida,Construction,Florida Institute of Technology (Melbourne),Florida,Colleges and universities,Gift,1000000
2015,Mary Semanik,Pennsylvania,Professional Sports,Drexel U. (Philadelphia),Pennsylvania,Colleges and universities,Gift,1000000
2015,Phil Oates,California,Real estate,City of Sacramento,California,Arts,Gift,1000000
2015,Kevin Nagle,Ohio,Pharmaceuticals,City of Sacramento,California,Arts,Gift,1000000
2015,Vivek Ranadivé,California,Professional Sports,City of Sacramento,California,Arts,Gift,1000000
2015,Ted Caplow,,Engineering,Patricia and Phillip Frost Museum of Science (Miami),Florida,Science,Gift,1000000
2015,Rocco and Mary Abessinio,Delaware,Finance,"Alfred I. duPont Hospital for Children (Rockland, Del.)",Delaware,Health,Gift,1000000
2015,Margaret Harris,Pennsylvania,Family wealth,Nationalities Service Center (Philadelphia),Pennsylvania,Human and social services,Gift,1000000
2015,Lyman Pope Jr.,New Hampshire,Real estate,"Pope Memorial Humane Society of Knox County (Thomaston, Me.)",Maine,Other groups,Gift,1000000
2015,David A. Stein,Florida,Food and beverage,Jacksonville Humane Society (Fla.),Florida,Other groups,Gift,1000000
2015,Delores Barr and Wayne Weaver,Florida,Investments,Jacksonville Humane Society (Fla.),Florida,Other groups,Gift,1000000
2015,Michael Munz,Florida,Health care,Jacksonville Humane Society (Fla.),Florida,Other groups,Gift,1000000
2015,Jack R. and Rose-Marie Anderson,Texas,"Consulting, Health care, Investments","Miami U., Farmer School of Business (Oxford, Ohio)",Ohio,Colleges and universities,Gift,1000000
2015,Ming Hsieh,California,Technology,Children's Hospital Los Angeles,California,Health,Gift,1000000
2015,Anne Steele,Washington,Family wealth,Gage Academy of Art (Seattle),Washington,Arts,Gift,1000000
2015,Duncan and Ellen McFarland,Massachusetts,Finance,Panthera (New York),New York,Conservation and the environment,Gift,1000000
2015,Larry and Jinny Browning,Missouri,Entertainment,Webster U. (St. Louis),Missouri,Colleges and universities,Gift,1000000
2015,Douglas Allred,California,Real estate,U. of Arizona (Tucson),Arizona,Colleges and universities,GiftMatching,1000000
2015,Bill Greehey,Texas,"Energy, Oil",St. Mary's U. (San Antonio),Texas,Colleges and universities,Gift,1000000
2015,William J. and Jane Carney,Georgia,Law,Emory U. School of Law (Atlanta),Georgia,Colleges and universities,GiftChallenge,1000000
2015,Arthur Kochoff,Michigan,Investments,"Henry Ford College (Dearborn, Mich.)",Michigan,Colleges and universities,Bequest,1000000
2015,Ron and Laura Strain,Florida,Food and beverage,U. of Indianapolis,Indiana,Colleges and universities,Gift,1000000
2015,Marvin Johnson,North Carolina,"Agriculture, Food and beverage",U. of North Carolina at Wilmington,North Carolina,Colleges and universities,Gift,1000000
2015,Edward J. Brown III and Jan Brown,North Carolina,Retail,"Benedictine Military School (Savannah, Ga.)",Georgia,Education,Gift,1000000
2015,Anonymous,,,U. of Maine at Augusta,Maine,Colleges and universities,Gift,1000000
2015,Robert Mann,Ohio,Biotechnology,"U. of Miami (Coral Gables, Fla.)",Florida,Colleges and universities,Gift,1000000
2015,Keith and Laurie Tennant,Florida,,U. of Kansas (Lawrence),Kansas,Colleges and universities,Gift,1000000
